Data_Size,Original_Entropy,Encrypted_Entropy,Avalanche_Effect_%,Avalanche_Std_Dev,Monobit_Test_p,Byte_Distribution_p,Runs_Test_p,Status,Method
1024,7.788305166280762,7.794957850218697,50.02485795454546,0.48398194761252555,0.603911997332304,0.29516803517901813,0.4478766013607715,PASS,AES-128
8192,7.978196843847728,7.979829917931567,50.022799124513604,0.21963719354133368,0.24487696484582114,0.8446379728997622,0.2510714153728475,PASS,AES-128
65536,7.996826603756317,7.997472586023508,49.99003324792582,0.06585259320111989,0.8626326250475844,0.8628471650065849,0.3080329048353575,PASS,AES-128
1024,7.762965479342317,7.8502226103302375,50.085820895522396,0.6546892740072272,0.6795086561718651,0.9773607709043334,0.8135017775476494,PASS,AES-128+GZIP
8192,7.975382542824256,7.9765982342677,49.98610436893205,0.18578427431274033,0.19081771301991657,0.3982285909068858,0.30438028234953435,PASS,AES-128+GZIP
65536,7.997276749431084,7.9974977891298815,50.00420350609757,0.05448532263897189,0.176949988469855,0.8848218784013225,0.35222624543893466,PASS,AES-128+GZIP
1024,7.831664232106939,7.813522563240011,50.11848455598456,0.592439686317596,0.9173530915275174,0.5254706082998898,0.6283837767654954,PASS,ChaCha20
8192,7.97543954374178,7.977291942972503,50.011457825451,0.1932021022713075,0.46259109807939985,0.4501650299279891,0.6223270545592163,PASS,ChaCha20
65536,7.997058552334914,7.996808168375839,50.004794196619265,0.06677684741291287,0.3454318067418412,0.06739304762842424,0.7498933097291939,PASS,ChaCha20
1024,7.807936354544371,7.818410979045004,50.16177884615385,0.5943784143344839,0.5171003022198085,0.7969017682554922,0.6083372984106055,PASS,DES
8192,7.976036586567715,7.975202786383882,49.944109405458086,0.17340024780911736,0.507809882366621,0.15061162211911594,0.005442056387746148,PASS,DES
65536,7.997043355266237,7.9969952338297565,49.99678118135222,0.07140303930665573,0.7980271671034354,0.20537197695004084,0.1351981483982678,PASS,DES
1024,7.796206840889306,7.819882361399808,49.98129734848485,0.46062733237566955,0.4135534864032156,0.44518155015342986,0.13619566729588944,PASS,Blowfish
8192,7.975822847523922,7.979733773187372,49.978660019455255,0.20466203687691192,0.0931076833828519,0.8927479921854888,0.08777507918595372,PASS,Blowfish
65536,7.9970537902822,7.9973081159916,49.97623459614445,0.060836352146610644,0.779834823437865,0.6731815300804395,0.2787964383968075,PASS,Blowfish
1024,7.8260305484370285,7.808843050574717,50.095458984375,0.5837447271170166,0.9229001282564581,0.48822252177040637,0.10647099736434423,PASS,OTP
8192,7.979693498755938,7.9801598887723975,49.9644775390625,0.19358034704825003,0.6788939309959643,0.9257869850236073,0.2907406219137084,PASS,OTP
65536,7.997335881999284,7.997685250697844,49.984962463378906,0.08041714221664673,0.6423181394580161,0.9828493869393647,0.4243306469033521,PASS,OTP
1024,7.801880379768783,7.809677942593077,50.015380859375,0.5577734946924049,0.6579765271598367,0.4970574235277714,0.7297309276896539,PASS,DNA-OTP
8192,7.978769907982516,7.981382847192299,50.015777587890625,0.19154238482075384,0.6055430395530197,0.981853944948043,0.09831917763668857,PASS,DNA-OTP
65536,7.997014113791674,7.997187979974655,50.001651763916016,0.06043685217408487,0.761773806419689,0.4774788000490031,0.46892123811425523,PASS,DNA-OTP
1024,7.802399988191661,7.799411124830468,49.82115198451113,0.5484066088144913,0.35592795656589254,0.07529216410697415,0.14679124160368948,PASS,Proposed_Method
8192,7.9796815435317585,7.97773383991197,49.99015363980003,0.1618728602123289,0.20935967496272115,0.5613042178251133,0.16603008459343793,PASS,Proposed_Method
65536,7.997168923659506,7.99741310051408,49.97576092760698,0.067486044072168,0.575246988951212,0.7938732017077357,0.17418031451533095,PASS,Proposed_Method
